provider,model,tier,date,event,input_usd_per_1m,output_usd_per_1m,blended_usd_per_1m_3to1,context_k_tokens,mmlu,gpqa_diamond,swe_bench_verified,aa_index_v4_1,capability_composite_0to1,capability_basis,intelligence_per_dollar_index_gpt3eq1,status,notes,sources,date_accessed
Anthropic,Claude Opus 5,frontier,2026-07-24,launch,5.0,25.0,10.0,1000000,,,97.0,60.7,0.97,swe,101.3,mixed,SWE-bench sources conflict 96.0 vs 97.0 [FLAG]. AA v4.1 #1 (60.7).,https://llm-stats.com/benchmarks/swe-bench-verified; https://benchlm.ai/benchmarks/artificialanalysis,2026-08-02
Google,Gemini 1.0 Pro,efficient,2023-12-13,launch,0.5,1.5,0.75,32000,71.8,,,,0.1423,mmlu_chained[E],198.1,fact,Converted from official per-character pricing.,https://blog.google/technology/ai/google-gemini-ai/,2026-08-02
Google,Gemini 1.5 Pro,frontier,2024-05-14,launch,3.5,10.5,5.25,1000000,85.9,,,,0.1851,mmlu_chained[E],36.8,fact,<=128K-prompt tier shown; 2x above 128K. 1M context (2M from Jun 2024).,https://arxiv.org/abs/2403.05530,2026-08-02
Google,Gemini 1.5 Pro,frontier,2024-10-01,reprice,1.25,5.0,2.1875,2000000,85.9,,,,0.1851,mmlu_chained[E],88.4,fact,-64% input / -52% output.,https://developers.googleblog.com/en/updated-production-ready-gemini-models-reduced-15-pro-pricing-increased-rate-limits-and-more/,2026-08-02
Google,Gemini 1.5 Flash,efficient,2024-05-14,launch,0.35,1.05,0.525,1000000,78.9,,,,0.1639,mmlu_chained[E],325.9,fact,,https://arxiv.org/abs/2403.05530,2026-08-02
Google,Gemini 1.5 Flash,efficient,2024-08-12,reprice,0.075,0.3,0.1312,1000000,78.9,,,,0.1639,mmlu_chained[E],1303.7,fact,~-78% cut.,https://developers.googleblog.com/en/gemini-15-flash-updates-google-ai-studio-gemini-api/,2026-08-02
Google,Gemini 2.0 Flash,efficient,2025-02-05,launch,0.1,0.4,0.175,1000000,,60.1,,,0.468,gpqa,2792.5,fact,GA pricing; dropped the 128K tier split.,https://developers.googleblog.com/en/gemini-2-family-expands/,2026-08-02
Google,Gemini 2.5 Pro,frontier,2025-06-17,launch,1.25,10.0,3.4375,1000000,,86.4,63.8,,0.7283,gpqa+swe,221.2,fact,<=200K tier. GPQA 86.4 independently measured (vendor launch fig 84.0).,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/; https://www.vals.ai/benchmarks/gpqa,2026-08-02
Google,Gemini 2.5 Flash,efficient,2025-06-17,launch,0.3,2.5,0.85,1000000,,78.3,,,0.7107,gpqa,873.0,fact,GA unified pricing (an input-price INCREASE vs preview $0.15).,https://developers.googleblog.com/en/gemini-2-5-thinking-model-updates/,2026-08-02
Google,Gemini 3 Pro,frontier,2025-11-18,launch,2.0,12.0,4.5,1000000,,91.9,76.2,48.0,0.827,gpqa+swe,191.9,fact,Price INCREASE vs 2.5 Pro. HLE 37.5. AA v4.1 = 48.,https://blog.google/products/gemini/gemini-3/,2026-08-02
Google,Gemini 3.1 Pro,frontier,2026-02-19,launch,2.0,12.0,4.5,2000000,,94.1,,46.0,0.9213,gpqa,213.8,mixed,"Same price as 3 Pro, context doubled to 2M. GPQA via BenchLM Aug-2026 snapshot.",https://benchlm.ai/benchmarks/gpqaDiamond; https://artificialanalysis.ai/models/comparisons/grok-4-5-vs-gemini-3-1-pro-preview,2026-08-02
Google,Gemini 3.6 Flash,efficient,2026-07-21,launch,1.5,7.5,3.0,1000000,,,,,,none,,fact,Output 17% cheaper than 3.5 Flash; Flash tier has moved upmarket since 2025.,https://9to5google.com/2026/07/21/gemini-3-6-flash/,2026-08-02
Meta,Llama 2 70B (Together),efficient,2023-07-18,launch,0.9,0.9,0.9,4000,68.9,,,,0.1335,mmlu_chained[E],154.9,estimate,"Hosted price ESTIMATE (Together AI, late 2023; archives unavailable).",https://ai.meta.com/llama/; https://www.together.ai/pricing,2026-08-02
Meta,Llama 3.1 405B (Together),frontier,2024-07-23,launch,3.5,3.5,3.5,128000,88.6,51.1,,,0.348,gpqa,103.8,fact,First open frontier-scale model; Together AI list price.,https://ai.meta.com/blog/meta-llama-3-1/; https://www.together.ai/pricing,2026-08-02
Meta,Llama 4 Maverick (Together),efficient,2025-04-05,launch,0.27,0.85,0.415,1000000,,69.8,,,0.5973,gpqa,1503.0,fact,"400B MoE / 17B active, multimodal. GPQA from Meta model card.",https://ai.meta.com/blog/llama-4-multimodal-intelligence/; https://openrouter.ai/meta-llama/llama-4-maverick,2026-08-02
DeepSeek,DeepSeek-V2,efficient,2024-05-07,launch,0.14,0.28,0.175,128000,78.5,,,,0.1626,mmlu_chained[E],970.5,fact,CNY 1/2 per 1M converted; triggered the China price war.,https://cyber.fsi.stanford.edu/publication/taking-stock-deepseek-shock,2026-08-02
DeepSeek,DeepSeek-V3,efficient,2024-12-26,launch,0.27,1.1,0.4775,64000,88.5,59.1,,,0.4547,gpqa,994.3,fact,671B MoE / 37B active; ~$5.6M training cost.,https://arxiv.org/abs/2412.19437,2026-08-02
DeepSeek,DeepSeek-R1,efficient,2025-01-20,launch,0.55,2.19,0.96,64000,90.8,71.5,49.2,,0.556,gpqa+swe,604.8,fact,o1-class reasoning at ~1/27th o1's output price ('DeepSeek shock').,https://arxiv.org/abs/2501.12948,2026-08-02
DeepSeek,DeepSeek-V3.2-Exp,efficient,2025-09-29,launch,0.28,0.42,0.315,128000,,,,24.7,,none,,fact,Sparse attention; 'API prices drop 50%+'. AA 24.7 is non-reasoning mode.,https://venturebeat.com/ai/deepseeks-new-v3-2-exp-model-cuts-api-pricing-in-half-to-less-than-3-cents,2026-08-02
DeepSeek,DeepSeek-V4-Pro,efficient,2026-05-31,reprice,0.435,0.87,0.5437,1000000,,,80.6,44.0,0.806,swe,1547.8,mixed,Permanent -75% cut (launch ~$1.74/$3.48 INFERRED). SWE 80.6 = V4-Pro-Max config.,https://thetechportal.com/2026/05/23/chinas-deepseek-permanently-cuts-prices-of-flagship-v4-pro-ai-model-by-75/; https://artificialanalysis.ai/models/deepseek-v4-pro,2026-08-02
DeepSeek,DeepSeek-V4-Flash,efficient,2026-07-31,launch,0.14,0.28,0.175,1000000,,,,50.0,,none,,fact,"AA v4.1 = 50, ~Opus-4.8-class per AA, at ~1% of Opus output price.",https://artificialanalysis.ai/articles/deepseek-v4-flash-0731-scores-50-on-the-artificial-analysis-intelligence-index-10-points-above-previous-deepseek-v4-flash; https://www.caixinglobal.com/2026-08-01/deepseek-releases-official-v4-flash-model-as-chinas-ai-race-intensifies-102470292.html,2026-08-02
Mistral,Mixtral 8x7B,efficient,2023-12-11,launch,0.54,0.54,0.54,32000,70.6,,,,0.1386,mmlu_chained[E],268.1,fact,First prominent open MoE; aggregator median price.,https://mistral.ai/news/mixtral-of-experts/,2026-08-02
Mistral,Mistral Large 2,frontier,2024-07-24,launch,3.0,9.0,4.5,128000,84.0,,,,0.1794,mmlu_chained[E],41.6,fact,Cut to $2/$6 in Sep 2024.,https://mistral.ai/news/mistral-large-2407/,2026-08-02
Mistral,Mistral Medium 3,efficient,2025-05-07,launch,0.4,2.0,0.8,128000,,,,,,none,,fact,Vendor claim: ~90% of Claude 3.7 Sonnet at ~8x lower cost.,https://mistral.ai/news/mistral-medium-3,2026-08-02
Mistral,Mistral Large 3,efficient,2025-12-02,launch,0.5,1.5,0.75,256000,,44.0,,,0.2533,gpqa,352.7,mixed,"Apache 2.0 open weights, non-reasoning. GPQA ~44 independent eval [approx].",https://llm-stats.com/models/mistral-large-latest,2026-08-02
Mistral,Mistral Medium 3.5,efficient,2026-04-29,launch,1.5,7.5,3.0,262000,,,,29.9,,none,,fact,Reasoning flagship priced ABOVE Large 3 (counter-trend).,https://blog.galaxy.ai/model/mistral-medium-3-5,2026-08-02
xAI,Grok 3,frontier,2025-04-09,launch,3.0,15.0,6.0,131000,,84.6,,,0.7947,gpqa,138.3,mixed,API launch date. GPQA is xAI-announced (vendor figure).,https://x.ai/news/grok-3,2026-08-02
xAI,Grok 4,frontier,2025-07-09,launch,3.0,15.0,6.0,256000,,87.5,,,0.8333,gpqa,145.0,mixed,GPQA ~87.5 (88.9 Heavy). SWE ~72-75 leaked/unofficial - EXCLUDED.,https://x.ai/news/grok-4,2026-08-02
xAI,Grok 4 Fast,efficient,2025-09-19,launch,0.2,0.5,0.275,2000000,,,,,,none,,fact,~98% cost cut vs Grok 4 at near-Grok-4 capability; 2M context.,https://simonwillison.net/2025/Sep/20/grok-4-fast/,2026-08-02
xAI,Grok 4.5,frontier,2026-07-08,launch,2.0,6.0,3.0,500000,,,86.6,54.0,0.866,swe,301.4,fact,SWE via llm-stats; AA v4.1 = 54 (#1 agentic tool use).,https://llm-stats.com/benchmarks/swe-bench-verified; https://www.datacamp.com/blog/grok-4-5,2026-08-02
Moonshot,Kimi K2,efficient,2025-07-11,launch,0.6,2.5,1.075,128000,,,65.8,,0.658,swe,639.2,fact,"1T MoE / 32B active, open weights.",https://moonshotai.github.io/Kimi-K2/; https://artificialanalysis.ai/models/kimi-k2,2026-08-02
Moonshot,Kimi K2.5,efficient,2026-01-27,launch,0.6,3.0,1.2,256000,,,76.8,,0.768,swe,668.3,fact,Multimodal; 'Agent Swarm'.,https://www.codecademy.com/article/kimi-k-2-5-complete-guide-to-moonshots-ai-model,2026-08-02
Moonshot,Kimi K3,frontier,2026-07-16,launch,3.0,15.0,6.0,1000000,,,93.4,57.1,0.934,swe,162.5,fact,"2.8T params, largest open-weight model ever; open challenger pricing UP into frontier tier.",https://artificialanalysis.ai/articles/kimi-k3-achieves-3-in-the-artificial-analysis-intelligence-index-comparable-to-opus-4-8-and-gpt-5-5; https://llm-stats.com/benchmarks/swe-bench-verified,2026-08-02
Alibaba,Qwen2.5-Max,frontier,2025-01-28,launch,1.6,6.4,2.8,32000,,,,,,none,,fact,Launched mid-DeepSeek-shock.,https://x.com/Alibaba_Qwen/status/1884995327318782086,2026-08-02
Alibaba,Qwen3-235B,efficient,2025-04-28,launch,0.7,2.8,1.225,128000,,71.1,,,0.6147,gpqa,524.0,fact,Apache 2.0; hybrid thinking modes; Alibaba Cloud price.,https://qwenlm.github.io/blog/qwen3/,2026-08-02
Alibaba,Qwen 3.6 Plus,efficient,2026-04-20,launch,0.325,1.95,0.7312,1000000,,87.8,78.8,,0.8127,gpqa+swe,1160.5,mixed,Open-weight workhorse tier; benchmarks via 2026 aggregators.,https://openrouter.ai/qwen/qwen3.6-plus; https://codersera.com/blog/qwen-3-5-complete-guide-2026/,2026-08-02
Alibaba,Qwen 3.7 Max,frontier,2026-05-19,launch,2.5,7.5,3.75,1000000,,92.4,80.4,46.0,0.8513,gpqa+swe,237.1,fact,List price (50% promo exists - modeled at list).,https://artificialanalysis.ai/models/qwen3-7-max,2026-08-02
